"U.S. Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Transportation,1526.43428922,1480.3039061,1539.8817156500002,1576.8876925700001,1631.8428603699997,1667.0197805799999,1723.24916608,1749.8493305000002,1792.2959787999998,1863.2920877899999,1913.5507800000003,1885.43488639,1925.9808566200002,1933.3267485000001,1965.85207445,1975.49512849,1975.8653657210002,1974.42667717,1870.906050463,1796.29504802,1802.27635119,1768.595360133,1748.9122314259998,1751.515530644,1785.4070748499998,1793.3993682599998,1828.04556378,1845.162609568,1874.726294862,1874.291137594,1627.618554522
Electricity generation,1880.548218031,1874.832993905,1890.103636731,1965.574487494,1990.3002022790001,2006.8774796150003,2079.4342268590003,2144.903576613,2231.4462848340004,2244.83709356,2351.1256848040007,2311.3870239810003,2326.7594487409997,2357.952283409,2390.7686137749997,2456.7370901729996,2401.2313835510004,2467.2262387140004,2414.1149456620005,2198.273321865,2313.956992587,2211.767282755,2073.785619891,2092.343183529,2092.5328002630004,1952.725752764,1860.4979921309998,1780.5520298419997,1799.8266478199998,1650.9614980219997,1482.1828648199998
Industry,1652.3613478999996,1625.4612586049996,1662.3439916270002,1631.9066325749993,1657.4775360879999,1675.1339837149994,1705.045256071,1705.1727703809997,1677.7550985020005,1627.052156677,1616.9912633940003,1569.9098465170002,1550.9615002040002,1529.061153405,1577.9811133639994,1536.17641963,1570.6404017170003,1560.3865690650002,1501.5536457460005,1345.92653531,1438.7787595470004,1443.335476128,1440.040968181,1489.5364331930002,1474.5466609880002,1464.0178706600002,1424.3552031929996,1446.6871910199995,1507.6474603770002,1521.6659413040002,1426.1945364280002
Agriculture,596.778203669,587.4933791369999,588.301070982,616.3677197100002,603.473043843,615.6694674270001,622.907952893,611.32852074,618.246993951,609.2897438719999,594.8543001999999,615.526557184,618.674248245,618.962289822,631.7226289810001,626.2532137759999,625.78650132,642.7207481660001,631.0310541360001,632.8604700980001,641.029259466,622.717221056,606.4525783820001,645.1572754879999,654.114339926,656.101038598,643.4202707050002,644.3957277350003,657.9149823109998,663.895668824,635.105960584
Commercial,427.1097945409999,434.321071921,429.93906985399997,423.366757597,426.58316021599995,425.69636369999995,433.307228225,425.795877424,400.541005589,396.92650227700005,411.195289387,400.2090783180001,401.73069096700004,417.96511742600006,415.77782772500007,405.442432139,391.90176228800004,405.85600396,413.16651185200004,416.90378511,419.29031623599997,415.067661241,396.025010146,419.341959773,429.60052584100004,442.08471983399994,426.906642295,428.48604995799997,444.23349905,452.13978837300004,425.312514299
Residential,345.070789228,354.689749717,361.22202480500005,372.61249873500003,363.260146626,367.52352110600003,399.454802713,380.828658835,346.873253604,366.684458388,387.99253858099996,378.076883841,375.286668942,393.72894336900004,381.85243492399997,371.01552867799995,334.309399965,355.254855173,363.906981641,354.545147455,355.539184171,349.093809292,306.9431239219999,357.731085806,378.276992293,351.469522018,327.812634639,329.880969945,377.368857848,384.178158381,361.95225684300004
U.S. territories,25.147580227,25.83656216,25.498568981000002,26.679961059,27.841226750999997,27.443018423,27.526948064,28.334353760000003,27.674773758999997,30.058671293,51.883352825,58.618697950999994,59.763734926,62.831546145999994,64.492951366,63.70812639300001,61.066452357,57.915315336,45.964358839,42.460418301000004,36.571397667,34.510308599000005,34.364232051,28.868748461,28.877428378,29.207854681,26.832724546999998,25.81080754,25.794830449,24.593554421999997,22.987684823
Total,6453.450222815999,6382.938921544999,6497.290078630001,6613.395749740001,6700.778176172999,6785.363614565999,6990.925580905001,7046.213088253001,7094.833389039,7138.140713857,7327.593209191001,7219.162974182001,7259.157148644999,7313.8280820770005,7428.447644584999,7434.827939279,7360.801266919002,7463.786407584,7240.643548339001,6787.264726159,7007.442260864002,6845.0871192039995,6606.523763998999,6784.494216894,6843.355822539001,6689.006126814999,6537.871031289999,6500.975385608,6687.512572717,6571.7257469199985,5981.3543723190005
